name,skill,experience_years,notes
User_0,Data Science,9,Data Science changes the way we think about healthcare
User_1,Cloud Computing,7,Machine Learning is transforming retrieval systems
User_2,Cloud Computing,13,Quantum Computing is transforming healthcare
User_3,Cloud Computing,14,Data Science is transforming education
User_4,Augmented Reality,7,Data Science is transforming education
User_5,Augmented Reality,12,Cybersecurity is the future of modern software development
User_6,Blockchain,10,Artificial Intelligence is essential for healthcare
User_7,Cybersecurity,10,Cloud Computing drives innovation in modern software development
User_8,Cloud Computing,15,Internet of Things is the future of education
User_9,Artificial Intelligence,2,Artificial Intelligence is transforming e-commerce
User_10,Cybersecurity,3,Cybersecurity is transforming modern software development
User_11,Internet of Things,5,Cloud Computing improves efficiency in retrieval systems
User_12,Internet of Things,4,Artificial Intelligence changes the way we think about retrieval systems
User_13,Artificial Intelligence,1,Internet of Things is the future of modern software development
User_14,Augmented Reality,12,Cybersecurity is essential for education
User_15,Internet of Things,1,Artificial Intelligence is the future of e-commerce
User_16,Quantum Computing,1,Artificial Intelligence improves efficiency in smart cities
User_17,Cybersecurity,12,Data Science is essential for education
User_18,Cybersecurity,9,Augmented Reality improves efficiency in e-commerce
User_19,Quantum Computing,5,Blockchain changes the way we think about retrieval systems
